"Comment","Designator"
"10uF","C3,C4"
"100nF/10V","C7"
"10uF/10V","C1,C2,C5,C6"
"LED","D1,D2"
"Conn_01x02","J1,J5,J7"
"Conn_01x03","J6"
"Conn_01x04","J2"
"Conn_01x06","J4"
"Conn_01x08","J3"
"1K","R4,R5"
"10K","R1,R2,R3,R6"
"AP2112K-3.3","U3"
"ESP-12","U1"
"M74VHC1GT50DTT1G","U2"
