"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"","","C16","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C17","4.7uF_10V_X5R ","jlcpcb-basic-capacitor-0402:4.7uF_10V_X5R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","","","C23733","","","Samsung Electro-Mechanics","CL05A475MP5NRNC","","",""
"","","C18","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C19","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C20","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C21","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C22","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","D1","LED","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","","","C2290","","","","","","",""
"","","D2","TXA","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"","","D3","RXA","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"","","D4","TXB","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"","","D5","RXB","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"","","D6","TXC","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"","","D7","RXC","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"","","D8","TXD","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"","","D9","RXD","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"","","FB1","500mA/600R","tom-passives:FILTER","tom-passives:C_0805_2012Metric","","","","C1017","","","","","","",""
"","","FB2","500mA/600R","tom-passives:FILTER","tom-passives:C_0805_2012Metric","","","","C1017","","","","","","",""
"","","FB3","500mA/600R","tom-passives:FILTER","tom-passives:C_0805_2012Metric","","","","C1017","","","","","","",""
"","","J1","Conn_01x03","tom-connectors:Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Horizontal","~","","","C492411","","","","","","",""
"","","J2","Conn_01x03","tom-connectors:Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Horizontal","~","","","C492411","","","","","","",""
"","","J3","Conn_01x03","tom-connectors:Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Horizontal","~","","","C492411","","","","","","",""
"","","J4","Conn_01x03","tom-connectors:Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Horizontal","~","","","C492411","","","","","","",""
