"Comment","Designator"
"10uF/10V","C1,C2,C3,C4,C5,C6"
"LED","D1"
"Conn_01x03","J1,J2,J3,J4"
"Conn_01x07","J5,J6,J7,J8"
"1k","R2"
"FT4232H-MODULE","X1"
