Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/10V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",111.125000,-88.900000,90.000000,top
"J1","PMOD-2x6-FEMALE","PMOD_2X6_PTH_RA_SOCKET",100.000000,-90.170000,180.000000,top
"LED1","LED","LED_1206_3216Metric",88.900000,-88.900000,90.000000,top
"U1","~","MIKROBUS_ADD_ON_SMALL",100.000000,-100.000000,0.000000,top
