"Comment","Designator"
"10uF/10V","C1,C2,C3,C4,C5,C6"
"Conn_01x02","J9"
"Conn_01x03","J1,J2,J3,J4"
"Conn_01x06","J8"
"Conn_01x07","J6,J7"
"Conn_02x05_SWD","J5"
"330R","R1"
"FT4232H-MODULE","X1"
